Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.036,mg/l,WCTMP,8/24/2004
,,,,,,Total Phosphorus,0.177,mg/l,WCTMP,8/24/2004,Actual
,,,,,,Total Specific conductivity,1072,umho/cm,WCTMP,8/24/2004,Actual
,,,,,,Total Zinc,8.71,ug/l,WCTMP,8/24/2004,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,205,mg/l
,,,,,,Total Chromium,0.907,ug/l,WCTMP,8/24/2004,Actual
,,,,,,Total Lead,1.24,ug/l,WCTMP,8/24/2004,Actual
,,,,,,Total Potassium,6.6,mg/l,WCTMP,8/24/2004,Actual
,,,,,,Total Sodium,101,mg/l,WCTMP,8/24/2004,Actual
,,,,,, Temperature, water,19.2,deg C,WCTMP,8/24/2004
,,,,,,Total Calcium,80.1,mg/l,WCTMP,8/24/2004,Actual
,,,,,,Total Hardness, carbonate,298,mg/l,WCTMP,8/24/2004
,,,,,,Total Mercury,2.11,ng/l,WCTMP,8/24/2004,Actual
,,,,,,Total Nickel,6.91,ug/l,WCTMP,8/24/2004,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.07,mg/l,WCTMP,8/24/2004
,,,,,,Total Total Organic Carbon (TOC),6.4,mg/l,WCTMP,8/24/2004,Actual
,,,,,,Total Total Suspended Solids (TSS),12,mg/l,WCTMP,8/24/2004,Actual
,,,,,,Total pH (Lab),7.8,pH            ,WCMP,8/23/2010,Actual
,,,,,,Total Total Calcium,72.1,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Dissolved Solids,710,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.18,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.114,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Sodium,121,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Suspended Solids,29,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Turbidity                               ,18,NTU           ,WCMP,8/23/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),4.1,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Magnesium,19.9,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Nitrate,1.86,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Chloride                                ,214,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.92,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Alkalinity,172,mg CaCO3/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Organic Carbon,7.6,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Potassium,5.9,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Conductivity (Field),1100,umhos/cm      ,WCMP,8/23/2010,Actual
,,,,,,Total Conductivity (Lab),1089,umhos/cm      ,WCMP,8/23/2010,Actual
,,,,,,Total Hardness Ca2CO3,262,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total pH (Field),8.3,pH            ,WCMP,8/23/2010,Actual
,,,,,,Total Temperature of Water,22,° C           ,WCMP,8/23/2010,Actual
,,,,,,Total Total Ammonia,0.134,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Nitrite,0.058,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.18,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Sulfate,36,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total pH (Lab),8,pH,WCMP,8/23/2006,Actual
,,,,,,Total Temperature of Water,22.6,C,WCMP,8/23/2006,Actual
,,,,,,Total Total Nitrite,0.037,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Ortho Phosphate,0.24,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Suspended Solids,12,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Turbidity,13,NTU,WCMP,8/23/2006,Actual
,,,,,,Total Total Alkalinity,154,mg CaCO3/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Ammonia,0.09,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Magnesium,20.1,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Conductivity (Field),963,umhos/cm,WCMP,8/23/2006,Actual
,,,,,,Total Conductivity (Lab),964,umhos/cm,WCMP,8/23/2006,Actual
,,,,,,Total pH (Field),7.9,pH,WCMP,8/23/2006,Actual
,,,,,,Total Total Nitrate,2.8,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Organic Carbon,8.1,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Phosphorus,0.33,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Sodium,98,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Dissolved Oxygen (Field),7.2,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Hardness Ca2CO3,254,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Calcium,68.6,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Dissolved Solids,630,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Kjeldahl Nitrogen,1.02,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Potassium,6.1,mg/L,WCMP,8/23/2006,Actual
,,,,,,Total Total Sulfate,38,mg/L,WCMP,8/23/2006,Actual
,,,,,,Dissolved Dissolved Solids,650,mg/l,WCTMP,8/21/2003,Calculated
,,,,,,Total Calcium,71,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Lead,1.78,ug/l,WCTMP,8/21/2003,Actual
,,,,,,Total Magnesium,20.4,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Nickel,10.9,ug/l,WCTMP,8/21/2003,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.081,mg/l,WCTMP,8/21/2003
,,,,,,Total pH,7.86,,WCTMP,8/21/2003,Actual
,,,,,,Total Phosphorus,0.156,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Total Organic Carbon (TOC),6.9,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,171,mg/l
,,,,,,Total Chromium,1.12,ug/l,WCTMP,8/21/2003,Actual
,,,,,,Total Hardness, carbonate,261,mg/l,WCTMP,8/21/2003
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.14,mg/l,WCTMP,8/21/2003
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,2.12,mg/l,WCTMP,8/21/2003
,,,,,,Total Phosphorus, orthophosphate as P,0.108,mg/l,WCTMP,8/21/2003
,,,,,, Temperature, water,22.3,deg C,WCTMP,8/21/2003
,,,,,,Total Cadmium,0.014,ug/l,WCTMP,8/21/2003,Actual
,,,,,,Total Copper,2.78,ug/l,WCTMP,8/21/2003,Actual
,,,,,,Total Nitrogen, Kjeldahl,1,mg/l,WCTMP,8/21/2003
,,,,,,Total Sodium,103,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Sulfate (SO4) as SO4,42,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),15,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Turbidity,14,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Chloride,180,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Mercury,3.88,ng/l,WCTMP,8/21/2003,Actual
,,,,,,Total Potassium,6.7,mg/l,WCTMP,8/21/2003,Actual
,,,,,,Total Specific conductivity,1002,umho/cm,WCTMP,8/21/2003,Actual
,,,,,,Total Zinc,12.8,ug/l,WCTMP,8/21/2003,Actual
,,,,,,Total Conductivity (Lab),1071,umhos/cm,WCMP,8/19/2008,Actual
,,,,,,Total pH (Field),7.8,pH,WCMP,8/19/2008,Actual
,,,,,,Total Temperature of Water,23,C,WCMP,8/19/2008,Actual
,,,,,,Total Total Calcium,70.7,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Dissolved Solids,700,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.92,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Magnesium,21.9,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Organic Carbon,6,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Phosphorus,0.17,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Sodium,112,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Conductivity (Field),1035,umhos/cm,WCMP,8/19/2008,Actual
,,,,,,Total Dissolved Oxygen (Field),6.9,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total pH (Lab),8.11,pH,WCMP,8/19/2008,Actual
,,,,,,Total Total Alkalinity,181,mg CaCO3/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Nitrite,0.047,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Sulfate,42,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Turbidity,8.5,NTU,WCMP,8/19/2008,Actual
,,,,,,Total Hardness Ca2CO3,267,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Ammonia,0.12,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Nitrate,2.9,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Ortho Phosphate,0.124,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Potassium,5.4,mg/L,WCMP,8/19/2008,Actual
,,,,,,Total Total Suspended Solids,11,mg/L,WCMP,8/19/2008,Actual
,,,,,,Dissolved Dissolved Solids,548,mg/l,WCTMP,8/18/1998,Calculated
,,,,,,Total Calcium,67.6,mg/l,WCTMP,8/18/1998,Actual
,,,,,,Total Copper,3.746,ug/l,WCTMP,8/18/1998,Actual
,,,,,,Total Magnesium,20.7,mg/l,WCTMP,8/18/1998,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.039,mg/l,WCTMP,8/18/1998
,,,,,,Total Pcb-101,0.281465104,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-128,0.079146667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-135/144,0.088426667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-136,0.032888874,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-141,0.104746667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-15/17,0.214520332,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-178,0.045866667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-18,0.131661588,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-183,0.078826667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-19,0.015595692,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-198,0,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-206,0.031466667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-207,0.00288,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-33,0.111928264,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-41/64/71,0.195741846,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-6,0.046044423,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-66,0.234784122,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-74,0.066414306,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-87,0.116702455,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-99,0.087632935,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),21,mg/l,WCTMP,8/18/1998,Actual
,,,,,,Total Nickel,7.958,ug/l,WCTMP,8/18/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.96,mg/l,WCTMP,8/18/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,2.2,mg/l,WCTMP,8/18/1998
,,,,,,Total Pcb-132/153,0.482133333,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-137/176,0.008106667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-138/163,0.509866667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-182/187,0.14304,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-201,0.145706667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-22,0.123492417,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-40,0.049439404,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-44,0.200197758,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-46,0.024931888,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-49,0.136647966,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-5/8,0.549774658,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-51,0.023022212,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-53,0.054001409,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-56+60,0.132298147,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-83,0.028432962,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-84/92,0.258442892,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-85,0.054531875,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-89,0.012200711,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-91,0.079569856,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Phosphorus,0.171,mg/l,WCTMP,8/18/1998,Actual
,,,,,,Total Specific conductivity,843,umho/cm,WCTMP,8/18/1998,Actual
,,,,,, Temperature, water,24.2,deg C,WCTMP,8/18/1998
,,,,,,Total Chloride,124,mg/l,WCTMP,8/18/1998,Actual
,,,,,,Total Chromium,3.535,ug/l,WCTMP,8/18/1998,Actual
,,,,,,Total Mercury,4.168,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-118,0.165973333,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-151,0.10464,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-16/32,0.211019258,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-167,0.02336,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-172,0.03616,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-177,0.093546667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-180,0.305386667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-195/208,0.03264,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-3,0,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-37/42,0.132298147,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-45,0.041694605,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-70/76,0.152349751,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-82,0.02912,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-95,0.369946784,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-97,0.053258757,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total pH,8.21,,WCTMP,8/18/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.104,mg/l,WCTMP,8/18/1998
,,,,,,Total Polychlorinated biphenyls (PCBs),9.733557029,ug/l,WCTMP,8/18/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,35,mg/l,WCTMP,8/18/1998,Actual
,,,,,,Total Cadmium,0.07,ug/l,WCTMP,8/18/1998,Actual
,,,,,,Total Chlordane,0.977,ug/l,WCTMP,8/18/1998,Actual
,,,,,,Total DDT,1.778,ug/l,WCTMP,8/18/1998,Actual
,,,,,,Total Hardness, carbonate,255,mg/l,WCTMP,8/18/1998
,,,,,,Total Lead,2.202,ug/l,WCTMP,8/18/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.082,mg/l,WCTMP,8/18/1998
,,,,,,Total Pcb-123/149,0.318293333,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-146,0.07584,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-158,0.0624,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-170/190,0.125333333,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-171/202,0.03968,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-174,0.152106667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-185,0.01408,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-193,0.024426667,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-194,0.075413333,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-196/203,0.149973333,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-199,0.01088,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-24/27,0.016974903,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-28/31,0.390210574,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-4/10,0.153198496,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-47/48,0.081161253,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-52,0.878345117,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-63,0.0108215,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-7/9,0.030024359,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Pcb-77/110,0.39042276,ng/l,WCTMP,8/18/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),6.6,mg/l,WCTMP,8/18/1998,Actual
,,,,,,Total Zinc,11.871,ug/l,WCTMP,8/18/1998,Actual
,,,,,,Total pH (Field),8,pH            ,WCMP,8/15/2011,Actual
,,,,,,Total Total Potassium,3.7,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Chloride                                ,150,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Conductivity (Field),850,umhos/cm      ,WCMP,8/15/2011,Actual
,,,,,,Total Dissolved Oxygen (Field),6.5,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Hardness Ca2CO3,225,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.27,mg/L,WCMP,8/15/2011,Actual
,,,,,,Total Total Magnesium,17.1,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Conductivity (Lab),900,umhos/cm      ,WCMP,8/15/2011,Actual
,,,,,,Total Total Alkalinity,180,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Total Calcium,61.8,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Total Dissolved Solids,580,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Total Nitrate,1.25,mg/L,WCMP,8/15/2011,Actual
,,,,,,Total Total Nitrite,0.022,mg/L,WCMP,8/15/2011,Actual
,,,,,,Total Total Phosphorus                        ,0.112,mg/L,WCMP,8/15/2011,Actual
,,,,,,Total Total Sulfate,16,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Turbidity                               ,10,NTU           ,WCMP,8/15/2011,Actual
,,,,,,Total pH (Lab),8.16,pH            ,WCMP,8/15/2011,Actual
,,,,,,Total Temperature of Water,21.2,° C           ,WCMP,8/15/2011,Actual
,,,,,,Total Total Ammonia,0.035,mg/L,WCMP,8/15/2011,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.78,mg/L,WCMP,8/15/2011,Actual
,,,,,,Total Total Organic Carbon,6.5,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Total Ortho Phosphate,0.069,mg/L,WCMP,8/15/2011,Actual
,,,,,,Total Total Sodium,85.3,mg/L          ,WCMP,8/15/2011,Actual
,,,,,,Total Total Suspended Solids,12,mg/L          ,WCMP,8/15/2011,Actual
,,,,,, Temperature, water,22.3,deg C,WCTMP,8/15/2005
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,8/15/2005
,,,,,,Total Magnesium,15.3,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Nickel,5.26,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.04,mg/l,WCTMP,8/15/2005
,,,,,,Total pH,7.77,,WCTMP,8/15/2005,Actual
,,,,,,Total Potassium,5.4,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),9.8,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Zinc,22.7,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,134,mg/l,WCTMP,8/15/2005
,,,,,,Total Copper,5.32,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Phosphorus,0.176,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.082,mg/l,WCTMP,8/15/2005
,,,,,,Total Sodium,90.8,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),134,mg/l,WCTMP,8/15/2005
,,,,,,Total Cadmium,0.082,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Calcium,55,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Chromium,2.2,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Lead,3.37,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.69,mg/l,WCTMP,8/15/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.097,mg/l,WCTMP,8/15/2005
,,,,,,Total Specific conductance,905,umho/cm,WCTMP,8/15/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),20,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Dissolved Dissolved Solids,590,mg/l,WCTMP,8/15/2005,Calculated
,,,,,,Total Chloride,170,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Hardness, carbonate,200,mg/l,WCTMP,8/15/2005
,,,,,,Total Mercury in Water,4.29,ug/l,WCTMP,8/15/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.52,mg/l,WCTMP,8/15/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,1.14,mg/l,WCTMP,8/15/2005
,,,,,,Total Sulfur, sulfate (SO4) as SO4,34,mg/l,WCTMP,8/15/2005
,,,,,,Total Turbidity,14,mg/l,WCTMP,8/15/2005,Actual
,,,,,,Total Total Ammonia,0.098,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Calcium,68.3,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Dissolved Solids,700,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Magnesium,20.6,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Phosphorus,0.171,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Potassium,5.9,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Turbidity,12,NTU,WCMP,8/14/2007,Actual
,,,,,,Total Conductivity (Field),1224,umhos/cm,WCMP,8/14/2007,Actual
,,,,,,Total Hardness Ca2CO3,256,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total pH (Lab),8.12,pH,WCMP,8/14/2007,Actual
,,,,,,Total Temperature of Water,23.6,C,WCMP,8/14/2007,Actual
,,,,,,Total Total Nitrate,3.2,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Sodium,105,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Conductivity (Lab),1070,umhos/cm,WCMP,8/14/2007,Actual
,,,,,,Total Dissolved Oxygen (Field),7.1,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total pH (Field),7.7,pH,WCMP,8/14/2007,Actual
,,,,,,Total Total Alkalinity,169,mg CaCO3/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.96,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Nitrite,0.048,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Organic Carbon,6.5,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Ortho Phosphate,0.116,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Sulfate,45,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Total Suspended Solids,12,mg/L,WCMP,8/14/2007,Actual
,,,,,,Total Dissolved Oxygen (Field),6.3,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total pH (Field),8.3,pH            ,WCMP,8/11/2010,Actual
,,,,,,Total pH (Lab),8.42,pH            ,WCMP,8/11/2010,Actual
,,,,,,Total Total Alkalinity,194,mg CaCO3/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Calcium,74.7,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Nitrite,0.035,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.188,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Potassium,5.7,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Sulfate,39,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Suspended Solids,8,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Chloride                                ,205,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Temperature of Water,25,° C           ,WCMP,8/11/2010,Actual
,,,,,,Total Total Ammonia,0.023,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.92,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Organic Carbon,5.7,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Turbidity                               ,5.2,NTU           ,WCMP,8/11/2010,Actual
,,,,,,Total Conductivity (Lab),1105,umhos/cm      ,WCMP,8/11/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,3.4,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Nitrate,3.4,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.139,mg/L,WCMP,8/11/2010,Actual
,,,,,,Total Conductivity (Field),1140,umhos/cm      ,WCMP,8/11/2010,Actual
,,,,,,Total Hardness Ca2CO3,282,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Dissolved Solids,720,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Magnesium,23.1,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Total Sodium,119,mg/L          ,WCMP,8/11/2010,Actual
,,,,,,Total Conductivity (Lab),477,umhos/cm,WCMP,8/10/2009,Actual
,,,,,,Total pH (Field),7,pH,WCMP,8/10/2009,Actual
,,,,,,Total Total Ammonia,0.088,mg/L,WCMP,8/10/2009,Actual
,,,,,,Total Total Nitrite,0.026,mg/L,WCMP,8/10/2009,Actual
,,,,,,Total Total Potassium,4.5,mg/L,WCMP,8/10/2009,Actual
,,,,,,Total Total Sodium,39.9,mg/L,WCMP,8/10/2009,Actual
,,,,,,Total Turbidity,55,NTU,WCMP,8/10/2009,Actual
