Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Sodium,71.8,mg/l,WCTMP,6/3/2003,Actual
,,,,,,Total Zinc,6.23,ug/l,WCTMP,6/3/2003,Actual
,,,,,,Dissolved Dissolved Solids,490,mg/l,WCTMP,6/3/2003,Calculated
,,,,,,Total Calcium,55.8,mg/l,WCTMP,6/3/2003,Actual
,,,,,,Total Chloride,137,mg/l,WCTMP,6/3/2003,Actual
,,,,,,Total Chromium,0.876,ug/l,WCTMP,6/3/2003,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.77,mg/l,WCTMP,6/3/2003
,,,,,,Total Total Organic Carbon (TOC),5.6,mg/l,WCTMP,6/3/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),9,mg/l,WCTMP,6/3/2003,Actual
,,,,,, Temperature, water,16.4,deg C,WCTMP,6/3/2003
,,,,,,Total Cadmium,0.025,ug/l,WCTMP,6/3/2003,Actual
,,,,,,Total Copper,2.5,ug/l,WCTMP,6/3/2003,Actual
,,,,,,Total Nickel,2.49,ug/l,WCTMP,6/3/2003,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.032,mg/l,WCTMP,6/3/2003
,,,,,,Total Potassium,9.6,mg/l,WCTMP,6/3/2003,Actual
,,,,,,Total Sulfate (SO4) as SO4,31,mg/l,WCTMP,6/3/2003,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,112,mg/l
,,,,,,Total Lead,1.24,ug/l,WCTMP,6/3/2003,Actual
,,,,,,Total Magnesium,12.4,mg/l,WCTMP,6/3/2003,Actual
,,,,,,Total Mercury,2.26,ng/l,WCTMP,6/3/2003,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.2,mg/l,WCTMP,6/3/2003
,,,,,,Total Phosphorus, orthophosphate as P,0.02,mg/l,WCTMP,6/3/2003
,,,,,,Total Specific conductivity,756,umho/cm,WCTMP,6/3/2003,Actual
,,,,,,Total Turbidity,9.2,mg/l,WCTMP,6/3/2003,Actual
,,,,,,Total Conductivity (Field),959,umhos/cm      ,WCMP,6/20/2011,Actual
,,,,,,Total Dissolved Oxygen (Field),4.4,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Hardness Ca2CO3,222,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Total Ammonia,0.254,mg/L,WCMP,6/20/2011,Actual
,,,,,,Total Total Ortho Phosphate,0.024,mg/L,WCMP,6/20/2011,Actual
,,,,,,Total Total Potassium,12.7,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total pH (Lab),7.84,pH            ,WCMP,6/20/2011,Actual
,,,,,,Total Temperature of Water,23.4,° C           ,WCMP,6/20/2011,Actual
,,,,,,Total Total Dissolved Solids,620,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.14,mg/L,WCMP,6/20/2011,Actual
,,,,,,Total Total Organic Carbon,5,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Chloride                                ,180,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Conductivity (Lab),948,umhos/cm      ,WCMP,6/20/2011,Actual
,,,,,,Total pH (Field),7.7,pH            ,WCMP,6/20/2011,Actual
,,,,,,Total Total Alkalinity,180,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Total Calcium,64.5,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Total Sulfate,37,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.23,mg/L,WCMP,6/20/2011,Actual
,,,,,,Total Total Magnesium,14.7,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Total Nitrate,1.17,mg/L,WCMP,6/20/2011,Actual
,,,,,,Total Total Nitrite,0.061,mg/L,WCMP,6/20/2011,Actual
,,,,,,Total Total Phosphorus                        ,0.073,mg/L,WCMP,6/20/2011,Actual
,,,,,,Total Total Sodium,105,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Total Suspended Solids,13,mg/L          ,WCMP,6/20/2011,Actual
,,,,,,Total Turbidity                               ,7.2,NTU           ,WCMP,6/20/2011,Actual
,,,,,,Total Conductivity (Lab),745,umhos/cm,WCMP,6/20/2006,Actual
,,,,,,Total pH (Field),7.4,pH,WCMP,6/20/2006,Actual
,,,,,,Total Temperature of Water,25.5,C,WCMP,6/20/2006,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.84,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Magnesium,13.2,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Phosphorus,0.122,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Hardness Ca2CO3,172,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Dissolved Solids,480,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Nitrite,0.042,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Organic Carbon,5.2,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Sodium,71.6,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Suspended Solids,56,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Alkalinity,111,mg CaCO3/L,WCMP,6/20/2006,Actual
,,,,,,Total Conductivity (Field),733,umhos/cm,WCMP,6/20/2006,Actual
,,,,,,Total Dissolved Oxygen (Field),4.2,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total pH (Lab),7.86,pH,WCMP,6/20/2006,Actual
,,,,,,Total Total Ammonia,0.189,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Calcium,47,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Nitrate,1.21,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Ortho Phosphate,0.039,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Potassium,3.8,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Total Sulfate,26,mg/L,WCMP,6/20/2006,Actual
,,,,,,Total Turbidity,38,NTU,WCMP,6/20/2006,Actual
,,,,,,Total Conductivity (Lab),474,umhos/cm      ,WCMP,6/18/2012,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.928,mg N/L        ,WCMP,6/18/2012,Actual
,,,,,,Total pH (Lab),7.91,pH            ,WCMP,6/18/2012,Actual
,,,,,,Total Total Calcium,36,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.56,mg N/L        ,WCMP,6/18/2012,Actual
,,,,,,Total Total Magnesium,11,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Total Nitrite,0.024,mg N/L        ,WCMP,6/18/2012,Actual
,,,,,,Total Total Phosphorus                        ,0.063,mg P/L        ,WCMP,6/18/2012,Actual
,,,,,,Total Total Potassium,7.9,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Turbidity,11.1,NTU           ,WCMP,6/18/2012,Actual
,,,,,,Total Dissolved Oxygen (Field),5.9,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Hardness Ca2CO3,135,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Temperature of Water,26.2,° C           ,WCMP,6/18/2012,Actual
,,,,,,Total Total Nitrate,0.9,mg N/L        ,WCMP,6/18/2012,Actual
,,,,,,Total Total Suspended Solids,11,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Chloride                                ,59,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Conductivity (Field),422,umhos/cm      ,WCMP,6/18/2012,Actual
,,,,,,Total Total Dissolved Solids,310,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Total Sulfate,29,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total pH (Field),7.8,pH            ,WCMP,6/18/2012,Actual
,,,,,,Total Total Alkalinity,80,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Total Ammonia,0.204,mg N/L        ,WCMP,6/18/2012,Actual
,,,,,,Total Total Organic Carbon,2.5,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Total Ortho Phosphate,0.033,mg P/L        ,WCMP,6/18/2012,Actual
,,,,,,Total Total Sodium,30,mg/L          ,WCMP,6/18/2012,Actual
,,,,,,Total Conductivity (Field),594,umhos/cm,WCMP,6/18/2008,Actual
,,,,,,Total Dissolved Oxygen (Field),6.1,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total pH (Field),7.9,pH,WCMP,6/18/2008,Actual
,,,,,,Total Total Dissolved Solids,410,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Nitrate,0.67,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Nitrite,0.03,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Potassium,2.9,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Organic Carbon,4.3,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Suspended Solids,13,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total pH (Lab),7.87,pH,WCMP,6/18/2008,Actual
,,,,,,Total Total Alkalinity,108,mg CaCO3/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Magnesium,11,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Sodium,61.3,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Sulfate,20,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Conductivity (Lab),624,umhos/cm,WCMP,6/18/2008,Actual
,,,,,,Total Hardness Ca2CO3,157,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Temperature of Water,22,C,WCMP,6/18/2008,Actual
,,,,,,Total Total Ammonia,0.151,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Calcium,44.5,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.6,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Ortho Phosphate,0.018,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Total Phosphorus,0.054,mg/L,WCMP,6/18/2008,Actual
,,,,,,Total Turbidity,11,NTU,WCMP,6/18/2008,Actual
,,,,,, Temperature, water,21.4,deg C,WCTMP,6/18/2002
,,,,,,Total Cadmium,0.035,ug/l,WCTMP,6/18/2002,Actual
,,,,,,Total Chlordane,0,ug/l,WCTMP,6/18/2002,Actual
,,,,,,Total Chloride,77,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Chromium,0.898,ug/l,WCTMP,6/18/2002,Actual
,,,,,,Total DDT,0,ug/l,WCTMP,6/18/2002,Actual
,,,,,,Total Magnesium,11.9,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Mercury,2.37,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.156,mg/l,WCTMP,6/18/2002
,,,,,,Total Pcb-118,0.183773325,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-123/149,0.279559417,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-138/163,0.50339616,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-141,0.092966529,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-158,0.058410606,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-16/32,0.852875985,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-167,0.016688745,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-193,0.029849593,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-201,0.136473251,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-28/31,1.190340394,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-46,0.045907282,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-52,0.863212622,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-74,0.119252112,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-99,0.102070011,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Sulfate (SO4) as SO4,26,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Total Organic Carbon (TOC),3.3,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Dissolved Dissolved Solids,350,mg/l,WCTMP,6/18/2002,Calculated
,,,,,,Total Calcium,43.6,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.027,mg/l,WCTMP,6/18/2002
,,,,,,Total Pcb-101,0.239320598,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-132/153,0.506777716,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-137/176,0.005560992,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-15/17,0.480919215,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-170/190,0.193676009,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-180,0.323529044,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-185,0.017691425,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-194,0.084794781,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-199,0.011994618,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-206,0.032182679,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-207,0.002474482,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-22,0.210996893,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-26,0.094063843,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-3,0,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-33,0.159586579,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-49,0.234930071,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-5/8,0.265124726,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-56+60,0.207092836,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-66,0.356067672,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-82,0.046828721,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-84/92,0.217820885,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-85,0.070558087,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-89,0.038744551,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Potassium,2.5,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Sulfide,*Present <QL,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Total Suspended Solids (TSS),9,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Hardness, carbonate,119,mg/l,WCTMP,6/18/2002
,,,,,,Total Nitrogen, Kjeldahl,0.65,mg/l,WCTMP,6/18/2002
,,,,,,Total Pcb-136,0.021807251,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-171/202,0.043523411,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-172,0.049383977,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-177,0.111452651,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-19,0.053789317,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-195/208,0.038536189,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-196/203,0.16808069,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-198,0.004813097,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-41/64/71,0.366062103,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-51,0.036057003,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-53,0.087902679,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-63,0.020307136,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-7/9,0.020675399,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-83,0.014535707,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-87,0.121769452,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-95,0.311705014,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.025,mg/l,WCTMP,6/18/2002
,,,,,,Total Sodium,43.6,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Specific conductivity,544,umho/cm,WCTMP,6/18/2002,Actual
,,,,,,Total Turbidity,9.3,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Zinc,8.39,ug/l,WCTMP,6/18/2002,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,109,mg/l
,,,,,,Total Copper,2.43,ug/l,WCTMP,6/18/2002,Actual
,,,,,,Total Lead,1.93,ug/l,WCTMP,6/18/2002,Actual
,,,,,,Total Nickel,2.31,ug/l,WCTMP,6/18/2002,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.9,mg/l,WCTMP,6/18/2002
,,,,,,Total Pcb-128,0.046175566,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-135/144,0.109314406,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-146,0.09201454,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-151,0.118620467,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-174,0.168390475,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-178,0.056857718,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-18,0.494492271,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-182/187,0.151452442,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-183,0.092311183,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-24/27,0.05984849,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-25,0.089469782,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-37/42,1.048892975,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-40,0.115459887,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-44,0.386888586,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-45,0.099457615,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-70/76,0.276360493,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-77/110,0.378717018,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-91,0.091297118,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total Pcb-97,0.078615363,ng/l,WCTMP,6/18/2002,Actual
,,,,,,Total pH,7.74,,WCTMP,6/18/2002,Actual
,,,,,,Total Phosphorus,0.062,mg/l,WCTMP,6/18/2002,Actual
,,,,,,Total Polychlorinated biphenyls (PCBs),13.70054993,ug/l,WCTMP,6/18/2002,Actual
,,,,,,Total Conductivity (Lab),694,umhos/cm,WCMP,6/15/2009,Actual
,,,,,,Total Hardness Ca2CO3,160,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Ortho Phosphate,0.034,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Phosphorus,0.084,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Conductivity (Field),584,umhos/cm,WCMP,6/15/2009,Actual
,,,,,,Total pH (Field),7.4,pH,WCMP,6/15/2009,Actual
,,,,,,Total Temperature of Water,18.6,C,WCMP,6/15/2009,Actual
,,,,,,Total Total Alkalinity,109,mg CaCO3/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Dissolved Solids,450,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Potassium,3.7,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Turbidity,4.5,NTU,WCMP,6/15/2009,Actual
,,,,,,Total Dissolved Oxygen (Field),5,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total pH (Lab),7.58,pH,WCMP,6/15/2009,Actual
,,,,,,Total Total Calcium,45.4,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.99,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Nitrate,1.09,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Nitrite,0.041,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Organic Carbon,5.3,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Sodium,74.8,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Sulfate,35,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Suspended Solids,4,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Ammonia,0.25,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Total Magnesium,11.4,mg/L,WCMP,6/15/2009,Actual
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,6/14/2005
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.21,mg/l,WCTMP,6/14/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.82,mg/l,WCTMP,6/14/2005
,,,,,,Total pH,7.74,,WCTMP,6/14/2005,Actual
,,,,,,Total Potassium,8,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Specific conductance,574,umho/cm,WCTMP,6/14/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,26,mg/l,WCTMP,6/14/2005
,,,,,,Total Zinc,14.5,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,98,mg/l,WCTMP,6/14/2005
,,,,,,Total Chloride,92,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Copper,5.83,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Mercury in Water,6.32,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.045,mg/l,WCTMP,6/14/2005
,,,,,,Total Sodium,48.9,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Dissolved Dissolved Solids,370,mg/l,WCTMP,6/14/2005,Calculated
,,,,,,Total Calcium,45.1,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Magnesium,10.4,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.86,mg/l,WCTMP,6/14/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.026,mg/l,WCTMP,6/14/2005
,,,,,,Total Total Organic Carbon (TOC),5,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),16,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Turbidity,22,mg/l,WCTMP,6/14/2005,Actual
,,,,,, Temperature, water,25.5,deg C,WCTMP,6/14/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),98,mg/l,WCTMP,6/14/2005
,,,,,,Total Cadmium,0.073,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Chromium,1.48,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Hardness, carbonate,156,mg/l,WCTMP,6/14/2005
,,,,,,Total Lead,2.83,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Nickel,3.09,ug/l,WCTMP,6/14/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.74,mg/l,WCTMP,6/14/2005
,,,,,,Total Phosphorus,0.094,mg/l,WCTMP,6/14/2005,Actual
,,,,,,Total Dissolved Oxygen (Field),6.6,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Hardness Ca2CO3,159,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Nitrate,0.92,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Nitrite,0.036,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Ortho Phosphate,0.014,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Sodium,55.9,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Suspended Solids,15,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Conductivity (Field),620,umhos/cm,WCMP,6/11/2007,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.62,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Conductivity (Lab),620,umhos/cm,WCMP,6/11/2007,Actual
,,,,,,Total Total Ammonia,0.12,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Dissolved Solids,400,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Magnesium,11.9,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Phosphorus,0.064,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Sulfate,28,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Turbidity,10,NTU,WCMP,6/11/2007,Actual
,,,,,,Total pH (Field),7.8,pH,WCMP,6/11/2007,Actual
,,,,,,Total pH (Lab),7.84,pH,WCMP,6/11/2007,Actual
,,,,,,Total Temperature of Water,22.2,C,WCMP,6/11/2007,Actual
,,,,,,Total Total Alkalinity,113,mg CaCO3/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Calcium,44,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Organic Carbon,3.1,mg/L,WCMP,6/11/2007,Actual
,,,,,,Total Total Potassium,4.6,mg/L,WCMP,6/11/2007,Actual
,,,,,, Temperature, water,21.5,deg C,WCTMP,6/11/2001
,,,,,,Dissolved Dissolved Solids,430,mg/l,WCTMP,6/11/2001,Calculated
,,,,,,Total Chloride,99,mg/l,WCTMP,6/11/2001,Actual
,,,,,,Total Hardness, carbonate,174,mg/l,WCTMP,6/11/2001
,,,,,,Total Lead,2.43,ug/l,WCTMP,6/11/2001,Actual
,,,,,,Total Mercury,4,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-141,0.080333277,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-146,0.087327428,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-167,0.019583069,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-18,0.19105567,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-183,0.088970504,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-185,0.016935801,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-193,0.029445219,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-196/203,0.170892627,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-206,0.033433603,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-25,0.030136804,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-33,0.070739381,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-45,0.032384433,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-46,0.017710206,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-49,0.162789691,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-5/8,0.194529897,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-51,0.032118557,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-53,0.041574949,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-6,0.027583299,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-63,0.010638866,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-82,0.028121412,ng/l,WCTMP,6/11/2001,Actual
