#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 10 23 17 00  60  8.8 11.3 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
2012 10 23 18 00  90  9.3 11.3 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2012 10 23 19 00  90  9.3 11.3 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 23 20 00  90  8.2 11.3 99.00 99.00 99.00 999 9999.0  10.8 999.0 999.0 99.0 99.00
2012 10 23 21 00  90  7.7 10.8 99.00 99.00 99.00 999 9999.0  10.8 999.0 999.0 99.0 99.00
2012 10 23 22 00  90  9.3 12.4 99.00 99.00 99.00 999 9999.0  10.6 999.0 999.0 99.0 99.00
2012 10 23 23 00  50  7.2 10.8 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2012 10 24 00 00  80  7.7 10.3 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 24 01 00  10  7.7 10.3 99.00 99.00 99.00 999 9999.0  10.8 999.0 999.0 99.0 99.00
2012 10 24 02 00  70  8.2 10.8 99.00 99.00 99.00 999 9999.0  10.8 999.0 999.0 99.0 99.00
2012 10 24 03 00 100  8.8 10.8 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 24 05 00 100  7.7 10.3 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 24 06 00 120  6.2  7.7 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 24 07 00 130  6.2  7.2 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2012 10 24 08 00 120  6.2  7.7 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 24 09 00 130  5.1  6.2 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 24 10 00 130  6.2  7.2 99.00 99.00 99.00 999 9999.0  10.8 999.0 999.0 99.0 99.00
